clinic_type,price,anonymous_testing,sti_count,weekend_available,online_booking,waiting_time
urology,10000,0.0,13,1.0,0.0,5.0
public_health,0,0.5,3,0.0,0.0,6.5
urology,17111,0.0,13,1.0,1.0,6.1
urology,10000,0.0,13,1.0,1.0,2.9
public_health,0,0.5,3,0.0,0.0,9.9
urology,15506,0.0,13,0.0,1.0,6.4
urology,16929,1.0,13,1.0,1.0,4.3
urology,87705,0.0,13,0.0,0.0,6.9
obstetrics,50362,0.0,13,1.0,1.0,4.6
urology,10000,0.0,13,0.0,1.0,0.8
urology,10000,1.0,13,1.0,0.0,4.6
public_health,0,0.5,3,0.0,0.0,10.7
urology,44467,0.0,13,1.0,0.0,0.9
urology,51833,0.0,13,1.0,1.0,6.1
public_health,0,0.5,3,0.0,0.0,9.0
public_health,0,0.5,3,0.0,0.0,4.1
public_health,0,0.5,3,0.0,0.0,11.1
urology,23799,0.0,13,0.0,0.0,3.3
public_health,0,0.5,3,0.0,0.0,12.1
obstetrics,48977,0.0,13,1.0,1.0,5.3
obstetrics,33948,0.0,13,1.0,1.0,2.4
urology,22155,1.0,13,1.0,1.0,2.2
obstetrics,88464,0.0,13,1.0,1.0,1.2
urology,10000,1.0,13,1.0,1.0,5.3
urology,22798,0.0,13,1.0,0.0,6.0
public_health,0,0.5,3,0.0,0.0,4.9
public_health,0,0.5,3,0.0,0.0,13.0
urology,47002,0.0,13,1.0,1.0,5.5
urology,10000,1.0,13,1.0,1.0,3.5
public_health,0,0.5,3,0.0,0.0,9.8
urology,10000,0.0,13,0.0,0.0,6.9
obstetrics,63188,0.0,13,1.0,1.0,5.2
public_health,0,0.5,3,0.0,0.0,8.7
public_health,0,0.5,3,0.0,0.0,4.7
urology,44788,1.0,13,0.0,1.0,7.1
urology,10000,0.0,13,0.0,1.0,2.6
obstetrics,82210,0.0,13,1.0,1.0,4.0
urology,10000,0.0,13,0.0,1.0,6.4
obstetrics,39343,0.0,13,1.0,1.0,4.3
urology,50677,0.0,13,1.0,1.0,3.5
obstetrics,63587,0.0,13,1.0,1.0,6.1
urology,50930,1.0,13,0.0,1.0,4.4
urology,47676,1.0,13,0.0,0.0,2.9
public_health,0,0.5,3,0.0,0.0,8.8
urology,32098,0.0,13,1.0,1.0,4.2
public_health,0,0.5,3,0.0,0.0,6.6
obstetrics,14624,0.0,13,1.0,1.0,2.5
public_health,0,0.5,3,0.0,0.0,12.1
obstetrics,69974,0.0,13,1.0,1.0,2.3
urology,10000,0.0,13,0.0,0.0,2.6
urology,63835,0.0,13,1.0,1.0,6.4
urology,55396,1.0,13,0.0,1.0,1.3
urology,67733,0.0,13,0.0,1.0,3.7
urology,68338,0.0,13,1.0,1.0,0.0
public_health,0,0.5,3,0.0,0.0,4.5
public_health,0,0.5,3,0.0,0.0,7.6
public_health,0,0.5,3,0.0,0.0,8.3
public_health,0,0.5,4,0.0,0.0,6.8
urology,32770,1.0,13,1.0,0.0,2.9
public_health,0,0.5,4,0.0,0.0,7.2
urology,40124,1.0,13,0.0,1.0,2.7
urology,14033,1.0,13,0.0,1.0,6.8
public_health,0,0.5,3,0.0,0.0,6.7
obstetrics,73844,0.0,13,1.0,1.0,2.6
obstetrics,23625,0.0,13,1.0,1.0,0.0
urology,18786,1.0,13,0.0,0.0,2.7
public_health,0,0.5,4,0.0,0.0,8.1
urology,41451,0.0,13,1.0,1.0,7.3
urology,40281,0.0,13,1.0,0.0,6.2
urology,53002,1.0,13,0.0,0.0,3.2
urology,10000,1.0,13,1.0,1.0,7.7
urology,13752,0.0,13,1.0,1.0,4.2
public_health,0,0.5,4,0.0,0.0,7.2
obstetrics,58046,0.0,13,1.0,1.0,3.2
obstetrics,74949,0.0,13,1.0,1.0,7.0
public_health,0,0.5,3,0.0,0.0,9.3
urology,25963,1.0,13,1.0,1.0,6.4
public_health,0,0.5,3,0.0,0.0,2.7
obstetrics,54985,0.0,13,1.0,1.0,4.3
urology,59889,1.0,13,0.0,1.0,4.1
obstetrics,34261,0.0,13,1.0,1.0,3.6
obstetrics,40556,0.0,13,1.0,1.0,2.9
obstetrics,41550,0.0,13,1.0,1.0,5.7
obstetrics,53377,0.0,13,1.0,1.0,0.7
public_health,0,0.5,3,0.0,0.0,9.7
public_health,0,0.5,3,0.0,0.0,11.1
urology,31883,0.0,13,1.0,0.0,7.6
urology,47092,0.0,13,1.0,1.0,0.4
urology,59199,1.0,13,1.0,1.0,3.2
public_health,0,0.5,4,0.0,0.0,12.0
public_health,0,0.5,3,0.0,0.0,11.4
urology,10000,0.0,13,1.0,1.0,1.8
urology,38755,1.0,13,1.0,1.0,3.3
urology,18168,0.0,13,1.0,1.0,1.1
urology,24240,0.0,13,0.0,1.0,5.4
urology,54076,1.0,13,0.0,1.0,6.2
public_health,0,0.5,3,0.0,0.0,6.4
public_health,0,0.5,3,0.0,0.0,10.6
obstetrics,11576,0.0,13,1.0,1.0,5.7
urology,10000,0.0,13,1.0,1.0,1.9
urology,14350,0.0,13,0.0,1.0,6.6
public_health,0,0.5,3,0.0,0.0,10.0
urology,20040,0.0,13,0.0,1.0,2.8
urology,28925,0.0,13,1.0,1.0,4.5
urology,20172,0.0,13,1.0,0.0,3.4
urology,10000,1.0,13,1.0,1.0,5.8
obstetrics,50962,0.0,13,1.0,1.0,3.5
obstetrics,109017,0.0,13,1.0,1.0,5.9
urology,34312,0.0,13,1.0,1.0,0.0
urology,10000,0.0,13,1.0,1.0,4.9
urology,15469,1.0,13,0.0,1.0,5.9
public_health,0,0.5,3,0.0,0.0,8.7
urology,30244,0.0,13,0.0,1.0,4.0
obstetrics,46989,0.0,13,1.0,1.0,4.0
public_health,0,0.5,4,0.0,0.0,11.1
urology,13879,0.0,13,0.0,1.0,0.0
urology,23222,0.0,13,0.0,1.0,6.1
urology,31863,0.0,13,1.0,0.0,5.5
public_health,0,0.5,4,0.0,0.0,5.0
public_health,0,0.5,3,0.0,0.0,5.8
urology,55836,0.0,13,1.0,1.0,3.3
public_health,0,0.5,3,0.0,0.0,5.1
obstetrics,26845,0.0,13,1.0,1.0,3.4
public_health,0,0.5,4,0.0,0.0,15.7
public_health,0,0.5,3,0.0,0.0,4.3
public_health,0,0.5,4,0.0,0.0,13.6
obstetrics,124941,0.0,13,1.0,1.0,4.0
obstetrics,70729,0.0,13,1.0,1.0,0.0
public_health,0,0.5,3,0.0,0.0,8.1
urology,10000,1.0,13,1.0,1.0,2.0
obstetrics,59942,0.0,13,1.0,1.0,3.1
public_health,0,0.5,3,0.0,0.0,8.6
urology,83252,0.0,13,0.0,1.0,1.8
public_health,0,0.5,3,0.0,0.0,9.0
obstetrics,35142,0.0,13,1.0,1.0,2.4
urology,26846,1.0,13,0.0,1.0,2.7
public_health,0,0.5,3,0.0,0.0,6.1
public_health,0,0.5,3,0.0,0.0,8.8
urology,33735,1.0,13,1.0,1.0,0.6
obstetrics,100060,0.0,13,1.0,1.0,5.3
urology,10000,1.0,13,1.0,1.0,0.4
obstetrics,25817,0.0,13,1.0,1.0,4.7
obstetrics,42338,0.0,13,1.0,1.0,6.8
urology,42699,0.0,13,0.0,0.0,1.4
urology,30488,0.0,13,0.0,1.0,0.7
public_health,0,0.5,3,0.0,0.0,9.7
urology,62964,1.0,13,1.0,0.0,7.7
urology,36531,0.0,13,1.0,1.0,0.0
urology,10000,0.0,13,1.0,1.0,5.6
public_health,0,0.5,3,0.0,0.0,8.4
urology,32159,0.0,13,1.0,1.0,4.3
public_health,0,0.5,3,0.0,0.0,6.3
public_health,0,0.5,3,0.0,0.0,9.6
public_health,0,0.5,3,0.0,0.0,9.7
obstetrics,10000,0.0,13,1.0,1.0,2.7
obstetrics,84681,0.0,13,1.0,1.0,4.9
urology,45824,0.0,13,0.0,1.0,4.6
obstetrics,79628,0.0,13,1.0,1.0,2.9
urology,10000,0.0,13,1.0,1.0,5.4
urology,22755,0.0,13,1.0,0.0,4.6
urology,46877,1.0,13,1.0,1.0,4.9
obstetrics,66266,0.0,13,1.0,1.0,3.1
public_health,0,0.5,3,0.0,0.0,3.4
public_health,0,0.5,3,0.0,0.0,3.1
urology,10000,1.0,13,1.0,0.0,1.6
obstetrics,38006,0.0,13,1.0,1.0,1.6
public_health,0,0.5,4,0.0,0.0,11.5
public_health,0,0.5,3,0.0,0.0,12.8
obstetrics,27390,0.0,13,1.0,1.0,2.8
obstetrics,31330,0.0,13,1.0,1.0,1.0
obstetrics,20664,0.0,13,1.0,1.0,1.8
urology,20586,0.0,13,0.0,0.0,5.6
obstetrics,60804,0.0,13,1.0,1.0,4.9
urology,47226,0.0,13,1.0,1.0,2.2
